Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,55.07,55.810001,54.91,55.610001,9285100,55.084641
2016-06-30,55.290001,55.43,54.599998,55.200001,17350500,54.678514
2016-06-29,54.50,55.139999,52.889999,55.130001,36084800,54.609176
2016-06-28,52.040001,53.200001,51.57,53.09,20837800,52.588447
2016-06-27,52.00,52.52,51.48,51.889999,15265700,51.399783
2016-06-24,52.360001,53.360001,52.18,52.59,18481200,52.093171
2016-06-23,55.110001,55.18,53.950001,54.119999,11219800,53.608716
2016-06-22,55.00,55.139999,54.529999,54.57,7019600,54.054465
2016-06-21,54.459999,55.09,54.439999,54.77,8278200,54.252576
2016-06-20,54.23,55.150002,54.23,54.360001,8429400,53.84645
2016-06-17,53.450001,53.869999,53.16,53.709999,11007100,53.202589
2016-06-16,53.540001,53.639999,52.939999,53.470001,14456500,52.964859
2016-06-15,54.240002,55.060001,54.240002,54.310001,7498400,53.796923
2016-06-14,54.580002,54.939999,54.080002,54.119999,9585600,53.608716
2016-06-13,55.00,55.639999,54.880001,54.91,8582200,54.391253
2016-06-10,54.639999,55.360001,54.549999,55.110001,12183600,54.589364
2016-06-09,54.110001,55.049999,53.880001,54.939999,11609800,54.420969
2016-06-08,53.830002,54.34,53.66,54.119999,12068500,53.608716
2016-06-07,54.16,54.349998,53.549999,53.549999,13334000,53.044101
2016-06-06,53.77,54.540001,53.689999,54.299999,13808300,53.787015
2016-06-03,54.290001,54.57,53.400002,53.450001,17217300,52.945047
2016-06-02,54.220001,54.669998,54.220001,54.529999,13901700,54.014842
2016-06-01,53.330002,55.040001,52.919998,54.93,28409300,54.252576
2016-05-31,56.41,56.470001,55.169998,55.220001,14233600,54.539001
2016-05-27,56.169998,56.529999,55.98,56.189999,8479000,55.497036
2016-05-26,56.049999,56.360001,55.599998,55.84,9063100,55.151353
2016-05-25,56.470001,56.689999,55.77,55.990002,9921500,55.299505
2016-05-24,56.049999,56.77,55.860001,56.59,11098700,55.892104
2016-05-23,56.599998,56.970001,55.950001,55.990002,7780700,55.299505
2016-05-20,55.880001,57.060001,55.41,56.48,13745300,55.78346
2016-05-19,55.82,57.299999,55.669998,57.040001,9376500,56.336555
2016-05-18,56.759998,56.869999,55.669998,56.119999,11532800,55.427899
2016-05-17,57.150002,57.380001,56.650002,57.099998,7620700,56.395813
2016-05-16,57.27,57.529999,56.630001,57.139999,8045900,56.43532
2016-05-13,57.740002,58.119999,57.279999,57.310001,7392600,56.603226
2016-05-12,57.52,58.34,57.310001,57.990002,8083700,57.27484
2016-05-11,58.50,58.68,56.849998,57.009998,12823000,56.306923
